"Pair";"Session";"Fribble_nr";"Name_a";"Name_b";"labels";"snautdist"
"001002";"post";"1";"schroef platte plaat";"schroeven schoorsteen vierkant";"schroef platte plaat : schroeven schoorsteen vierkant";0,171247
"001002";"post";"2";"piramide";"piramide";"piramide : piramide";0
"001002";"post";"3";"wijnglas";"wijnglas";"wijnglas : wijnglas";5,96046e-08
"001002";"post";"4";"afgesneden piramide";"afgezaagde driehoek";"afgesneden piramide : afgezaagde driehoek";0,328879
"001002";"post";"5";"robot";"scheppen aan zijkant";"robot : scheppen aan zijkant";0,618372
"001002";"post";"6";"balk door bol";"lepel rechts rondje";"balk door bol : lepel rechts rondje";0,275296
"001002";"post";"7";"tafel eettafel";"tafel";"tafel eettafel : tafel";0,0711341
"001002";"post";"8";"schaap";"schaap";"schaap : schaap";0
"001002";"post";"9";"ovalen steun onderkant";"ovaal voetstuk";"ovalen steun onderkant : ovaal voetstuk";0,245877
"001002";"post";"10";"zonnepaneel";"zonnepaneel";"zonnepaneel : zonnepaneel";0
"001002";"post";"11";"bol platte balk";"driehoekige balk";"bol platte balk : driehoekige balk";0,0924246
"001002";"post";"12";"bijzettafeltje met tuutje";"bijzettafel";"bijzettafeltje met tuutje : bijzettafel";0,308835
"001002";"post";"13";"zwembad";"zwembad";"zwembad : zwembad";0
"001002";"post";"14";"balk voor mok";"bal en balk";"balk voor mok : bal en balk";0,170489
"001002";"post";"15";"glijbaan";"glijbaan";"glijbaan : glijbaan";0
"001002";"post";"16";"rechtopstaande lepel sliert";"kegel boven en zijkant";"rechtopstaande lepel sliert : kegel boven en zijkant";0,21793
"003004";"pre";"1";"verrekijker sateliet";"plat vierkant voorop";"verrekijker sateliet : plat vierkant voorop";0,532492
"003004";"pre";"2";"punthoed wielen neus";"uitstekende driehoek bovenop";"punthoed wielen neus : uitstekende driehoek bovenop";0,372723
"003004";"pre";"3";"rechte lijnen figuren";"op gedraaid statief";"rechte lijnen figuren : op gedraaid statief";0,473479
"003004";"pre";"4";"motor van boot";"dubbele balk rechts";"motor van boot : dubbele balk rechts";0,551683
"003004";"pre";"5";"raketmotoren";"balk horizontaal bovenop";"raketmotoren : balk horizontaal bovenop";0,69599
"003004";"pre";"6";"neus piercing";"staaf door rondje";"neus piercing : staaf door rondje";0,398193
"003004";"pre";"7";"plank houder";"plank snijdt middenboven";"plank houder : plank snijdt middenboven";0,342189
"003004";"pre";"8";"pinokkio wetenschap kunst";"ruit staaf bovenop";"pinokkio wetenschap kunst : ruit staaf bovenop";0,616768
"003004";"pre";"9";"suiker pot";"pijp handvat links";"suiker pot : pijp handvat links";0,496255
"003004";"pre";"10";"rollen schuine plank";"bolletje op handvaten";"rollen schuine plank : bolletje op handvaten";0,263167
"003004";"pre";"11";"indiaan";"ronde bal rechtsvoor";"indiaan : ronde bal rechtsvoor";0,581819
"003004";"pre";"12";"trechter kom plaat";"horizontaal rondje voorop";"trechter kom plaat : horizontaal rondje voorop";0,443312
"003004";"pre";"13";"zwembad trap afscheiding";"twee kraal ketting zijkanten";"zwembad trap afscheiding : twee kraal ketting zijkanten";0,472904
"003004";"pre";"14";"balhoofd armen neus";"verticale balk voorkant";"balhoofd armen neus : verticale balk voorkant";0,292522
"003004";"pre";"15";"glijbaan speelplaats";"vierkant snijdt middenonder";"glijbaan speelplaats : vierkant snijdt middenonder";0,671008
"003004";"pre";"16";"theepot tol";"linksvoor boven zelfde";"theepot tol : linksvoor boven zelfde";0,533889
"003004";"post";"1";"verrekijker";"verrekijker";"verrekijker : verrekijker";0
"003004";"post";"2";"punthoofd";"puntmuts";"punthoofd : puntmuts";0,520683
"003004";"post";"3";"graal beker houder";"driehoek statief";"graal beker houder : driehoek statief";0,519376
"003004";"post";"4";"deurklink";"deurklink";"deurklink : deurklink";0
"003004";"post";"5";"hanenkam";"hanenkam";"hanenkam : hanenkam";-1,19209e-07
"003004";"post";"6";"neuspiercing";"neuspiercing";"neuspiercing : neuspiercing";1,78814e-07
"003004";"post";"7";"bakje plank";"kom houder plank";"bakje plank : kom houder plank";0,206783
"003004";"post";"8";"boiler";"boiler";"boiler : boiler";5,96046e-08
"003004";"post";"9";"theekopje";"theekopje";"theekopje : theekopje";0
"003004";"post";"10";"buis door kopje";"staaf links klein";"buis door kopje : staaf links klein";0,326396
"003004";"post";"11";"indiaan";"indiaan";"indiaan : indiaan";1,19209e-07
"003004";"post";"12";"taart houder";"taart houder";"taart houder : taart houder";1,19209e-07
"003004";"post";"13";"pippi langkous";"pippi langkous";"pippi langkous : pippi langkous";5,96046e-08
"003004";"post";"14";"basketbal armpjes";"basketbal";"basketbal armpjes : basketbal";0,201071
"003004";"post";"15";"glijbaan";"glijbaan";"glijbaan : glijbaan";0
"003004";"post";"16";"vijzel";"vijzel";"vijzel : vijzel";0
"005006";"pre";"1";"stapels vierkante blokjes";"spijke in bovenkant";"stapels vierkante blokjes : spijke in bovenkant";0,352086
"005006";"pre";"2";"hanenkam en puntneus";"driehoek aan bovenkant";"hanenkam en puntneus : driehoek aan bovenkant";0,347388
"005006";"pre";"3";"trofee met blokjes";"gedraaide driehoek onder";"trofee met blokjes : gedraaide driehoek onder";0,390051
"005006";"pre";"4";"gelijk aan teken";"twee balkjes rechts";"gelijk aan teken : twee balkjes rechts";0,435729
"005006";"pre";"5";"vierkante staaf liggend";"langwerpige balk bovenop";"vierkante staaf liggend : langwerpige balk bovenop";0,303461
"005006";"pre";"6";"vierkant balletje cirkel";"doorboorde bol voorkant";"vierkant balletje cirkel : doorboorde bol voorkant";0,277827
"005006";"pre";"7";"mengkom door tafel";"tafel aan voorkant";"mengkom door tafel : tafel aan voorkant";0,368737
"005006";"pre";"8";"langwerpig hexagon neus";"doorboord vierkant bovenop";"langwerpig hexagon neus : doorboord vierkant bovenop";0,220067
"005006";"pre";"9";"halve cirkel kegel";"schijf aan achterkant";"halve cirkel kegel : schijf aan achterkant";0,466507
"005006";"pre";"10";"bolletjes twee stokken";"liggend scherm achterkant";"bolletjes twee stokken : liggend scherm achterkant";0,457211
"005006";"pre";"11";"bolle neus driehoek";"bol aan voorkant";"bolle neus driehoek : bol aan voorkant";0,254874
"005006";"pre";"12";"spijker schuin hartje";"spijker uitstekende deel";"spijker schuin hartje : spijker uitstekende deel";0,27011
"005006";"pre";"13";"vierkante ondergrond";"twee uitstekende kralensnoeren";"vierkante ondergrond : twee uitstekende kralensnoeren";0,416761
"005006";"pre";"14";"vierkante stok vooraanzicht";"bol op bovenkant";"vierkante stok vooraanzicht : bol op bovenkant";0,280586
"005006";"pre";"15";"schuine cilinder vierkant";"twee blokjes bovenop";"schuine cilinder vierkant : twee blokjes bovenop";0,336766
"005006";"pre";"16";"kegels vierkantjes zijkant";"blokjes aan voorkant";"kegels vierkantjes zijkant : blokjes aan voorkant";0,177842
"005006";"post";"1";"spijker scherm blokjes";"spijker bovenkant blokken torentjes";"spijker scherm blokjes : spijker bovenkant blokken torentjes";0,189523
"005006";"post";"2";"hanekam vierkant cirkel";"hanenkam prisma voorkant";"hanekam vierkant cirkel : hanenkam prisma voorkant";0,230242
"005006";"post";"3";"gedraaide balk driehoek";"gedraaide driehoek onder";"gedraaide balk driehoek : gedraaide driehoek onder";0,131684
"005006";"post";"4";"afgekapt hoedje is teken";"is teken pilon";"afgekapt hoedje is teken : is teken pilon";0,233507
"005006";"post";"5";"shuttle balkje bovenop";"spaceshuttle liggende balk";"shuttle balkje bovenop : spaceshuttle liggende balk";0,314627
"005006";"post";"6";"staaf bolletje cirkel";"balk bol voorkant";"staaf bolletje cirkel : balk bol voorkant";0,25017
"005006";"post";"7";"tafeltje met schoteltje";"tafel met bakje";"tafeltje met schoteltje : tafel met bakje";0,0758494
"005006";"post";"8";"doorboord vierkant glijbaan";"glijbaan doorboord vierkant";"doorboord vierkant glijbaan : glijbaan doorboord vierkant";-1,19209e-07
"005006";"post";"9";"blokje onderin cirkel";"schijf acterkant ballon";"blokje onderin cirkel : schijf acterkant ballon";0,241907
"005006";"post";"10";"scherm achter spijkers";"liggend scherm achterkant";"scherm achter spijkers : liggend scherm achterkant";0,20583
"005006";"post";"11";"bolletje driehoek staafje";"bol gleufje links";"bolletje driehoek staafje : bol gleufje links";0,270465
"005006";"post";"12";"spijker hartje schijf";"spijker in hartje";"spijker hartje schijf : spijker in hartje";0,153096
"005006";"post";"13";"kralen vierkanten plaat";"kralenketting dienblad";"kralen vierkanten plaat : kralenketting dienblad";0,230507
"005006";"post";"14";"bolletje armen staaf";"bol boven armpjes";"bolletje armen staaf : bol boven armpjes";0,171576
"005006";"post";"15";"tutu torens";"twin towers tutu";"tutu torens : twin towers tutu";0,309872
"005006";"post";"16";"ballonnetjes vierkanten blokjes";"balon boven links";"ballonnetjes vierkanten blokjes : balon boven links";0,473201
"007008";"pre";"1";"vierkant oog met twee schroef oren";"vierkant voorkant";"vierkant oog met twee schroef oren : vierkant voorkant";0,180432
"007008";"pre";"2";"scherp driehoekige pet";"driehoek bovenop";"scherp driehoekige pet : driehoek bovenop";0,320682
"007008";"pre";"3";"mogelijk mensenlijk lichaam";"gedraaid uitsteeksel onderkant";"mogelijk mensenlijk lichaam : gedraaid uitsteeksel onderkant";0,465954
"007008";"pre";"4";"pastoor achtig hoedje";"is aan rechterkant";"pastoor achtig hoedje : is aan rechterkant";0,50272
"007008";"pre";"5";"rechthoekig balk op de beker";"rechthoek bovenop";"rechthoekig balk op de beker : rechthoek bovenop";0,229787
"007008";"pre";"6";"appelvormig beker";"vliegtuig propellor voorkant";"appelvormig beker : vliegtuig propellor voorkant";0,596445
"007008";"pre";"7";"tafel vormig pet";"veel bovenkant";"tafel vormig pet : veel bovenkant";0,376608
"007008";"pre";"8";"satelliet kop met pinokkio neus";"neus en sik";"satelliet kop met pinokkio neus : neus en sik";0,264077
"007008";"pre";"9";"oude camera toestel";"lange neus staart";"oude camera toestel : lange neus staart";0,507711
"007008";"pre";"10";"dikke handvaten beker";"honkbalknuppel achterkant";"dikke handvaten beker : honkbalknuppel achterkant";0,321891
"007008";"pre";"11";"een watermeloen neus";"bolle neus";"een watermeloen neus : bolle neus";0,202665
"007008";"pre";"12";"pacman oortje";"rond platform rechts";"pacman oortje : rond platform rechts";0,538407
"007008";"pre";"13";"symmetrische koffie beker";"vierkant onderkant";"symmetrische koffie beker : vierkant onderkant";0,407261
"007008";"pre";"14";"hangende koffie beker";"bol bovenop";"hangende koffie beker : bol bovenop";0,382018
"007008";"pre";"15";"een groetende robotje";"twee stokjes bovenop";"een groetende robotje : twee stokjes bovenop";0,438134
"007008";"pre";"16";"boomstam in beker";"twee stelen";"boomstam in beker : twee stelen";0,47777
"007008";"post";"1";"champignon kapsel robot";"mushroom uitpuilende ogen";"champignon kapsel robot : mushroom uitpuilende ogen";0,313376
"007008";"post";"2";"pyramide pet";"driehoek met kogel";"pyramide pet : driehoek met kogel";0,397258
"007008";"post";"3";"menselijke trofee";"trofee";"menselijke trofee : trofee";0,180051
"007008";"post";"4";"pastor met een is teken";"is teken";"pastor met een is teken : is teken";0,134038
"007008";"post";"5";"robot stofzuigende snoepmachine";"omgekeerde beker schepje";"robot stofzuigende snoepmachine : omgekeerde beker schepje";0,41575
"007008";"post";"6";"clown toeter";"toeter appel blaadje";"clown toeter : toeter appel blaadje";0,258374
"007008";"post";"7";"ouderwetse pistool";"ak zevenenveertig";"ouderwetse pistool : ak zevenenveertig";0,65811
"007008";"post";"8";"pinokkio sitcom satelliet";"satteliet en sik";"pinokkio sitcom satelliet : satteliet en sik";0,436423
"007008";"post";"9";"oude zijwaartse cameratoestel";"nek halve cirkel";"oude zijwaartse cameratoestel : nek halve cirkel";0,372862
"007008";"post";"10";"elektrische fiets meter";"honkbalknuppel electrische fiets";"elektrische fiets meter : honkbalknuppel electrische fiets";0,176998
"007008";"post";"11";"onkruid schotel";"misvormde waterdruppel boven";"onkruid schotel : misvormde waterdruppel boven";0,438616
"007008";"post";"12";"pacman helicopter landing";"pacman helikopterplatform";"pacman helicopter landing : pacman helikopterplatform";0,178883
"007008";"post";"13";"diamanten kop koffie oren";"diamantjes plat vierkant";"diamanten kop koffie oren : diamantjes plat vierkant";0,278928
"007008";"post";"14";"moderne lantaarnpaal lamp";"toren en bol";"moderne lantaarnpaal lamp : toren en bol";0,314515
"007008";"post";"15";"groetende stofzuiger robot";"robot met arm";"groetende stofzuiger robot : robot met arm";0,216091
"007008";"post";"16";"twee waterdruppels";"twee druppels water";"twee waterdruppels : twee druppels water";0,177076
"009010";"pre";"1";"stekker robot vierkant";"vierkant rechts vooraan";"stekker robot vierkant : vierkant rechts vooraan";0,325318
"009010";"pre";"2";"piramide trapezium";"piramide bovenaan";"piramide trapezium : piramide bovenaan";0,199407
"009010";"pre";"3";"pirouette armen omhoog";"driehoek onderaan";"pirouette armen omhoog : driehoek onderaan";0,412692
"009010";"pre";"4";"kip duckface hanenkam";"twee balken rechts";"kip duckface hanenkam : twee balken rechts";0,460174
"009010";"pre";"5";"lampenkap schouders balk";"lange balk bovenop";"lampenkap schouders balk : lange balk bovenop";0,238307
"009010";"pre";"6";"neuspiercing kuifje staaf";"doorboord ei rechts";"neuspiercing kuifje staaf : doorboord ei rechts";0,327899
"009010";"pre";"7";"opgetilde plank bakje";"pootjes plaat bovenaan";"opgetilde plank bakje : pootjes plaat bovenaan";0,20694
"009010";"pre";"8";"wijzend been omhoog";"gebogen balk onderaan";"wijzend been omhoog : gebogen balk onderaan";0,378443
"009010";"pre";"9";"basis koffie deksel";"cirkel links achter";"basis koffie deksel : cirkel links achter";0,527731
"009010";"pre";"10";"superman armen wijd";"kleine eitjes weerszijden";"superman armen wijd : kleine eitjes weerszijden";0,426857
"009010";"pre";"11";"ronde neus staartjes";"los ei rechts";"ronde neus staartjes : los ei rechts";0,342975
"009010";"pre";"12";"trechter bijzettafel reling";"plat ovaal rechts";"trechter bijzettafel reling : plat ovaal rechts";0,304997
"009010";"pre";"13";"zwembad kralenketting";"plaat onderaan";"zwembad kralenketting : plaat onderaan";0,618726
"009010";"pre";"14";"plank knuffel geven";"ei bovenop";"plank knuffel geven : ei bovenop";0,384881
"009010";"pre";"15";"tutu slurf hendel";"plaat doorheen voorwerp";"tutu slurf hendel : plaat doorheen voorwerp";0,388353
"009010";"pre";"16";"telescoop twee hendels";"meerdere blokjes rechts";"telescoop twee hendels : meerdere blokjes rechts";0,358206
"009010";"post";"1";"robot plaat antenne";"robot";"robot plaat antenne : robot";0,285676
"009010";"post";"2";"piramide pipet";"piramide bovenop";"piramide pipet : piramide bovenop";0,260863
"009010";"post";"3";"cocktailglas pirouette";"cocktailglas";"cocktailglas pirouette : cocktailglas";0,155245
"009010";"post";"4";"eend kip";"eend";"eend kip : eend";0,0627338
"009010";"post";"5";"lampenkap balk";"balk bovenop";"lampenkap balk : balk bovenop";0,251993
"009010";"post";"6";"doorboord ei";"doorboord ei";"doorboord ei : doorboord ei";0
"009010";"post";"7";"plantenbak opgetild tafeltje";"hangend aan tafeltje";"plantenbak opgetild tafeltje : hangend aan tafeltje";0,15705
"009010";"post";"8";"ruitjes oude camera's";"ruit achterkant";"ruitjes oude camera's : ruit achterkant";0,313446
"009010";"post";"9";"pannetje deksel kegel";"steelpan deksel";"pannetje deksel kegel : steelpan deksel";0,096996
"009010";"post";"10";"peper zout paaseitjes";"peper en zout";"peper zout paaseitjes : peper en zout";0,0570176
"009010";"post";"11";"ei wolkenkrabber hoofd";"ei voorop";"ei wolkenkrabber hoofd : ei voorop";0,336717
"009010";"post";"12";"b vormige reling bijzettafel";"balk bijzettafeltje";"b vormige reling bijzettafel : balk bijzettafeltje";0,234205
"009010";"post";"13";"clown zwembad kralenketting";"clown";"clown zwembad kralenketting : clown";0,288847
"009010";"post";"14";"wolkenkrabber knuffelen";"wolkenkrabber knuffel";"wolkenkrabber knuffelen : wolkenkrabber knuffel";0,162824
"009010";"post";"15";"tutu slurf hendel";"tutu";"tutu slurf hendel : tutu";0,352583
"009010";"post";"16";"oude camera kegels";"twee plugs";"oude camera kegels : twee plugs";0,384609
"011012";"pre";"1";"antenne erop";"robot met verrekijker";"antenne erop : robot met verrekijker";0,364111
"011012";"pre";"2";"driehoekige punt erboven";"piramide bovenop";"driehoekige punt erboven : piramide bovenop";0,292615
"011012";"pre";"3";"op spiraal staaf";"wijnglas met blokjes";"op spiraal staaf : wijnglas met blokjes";0,376954
"011012";"pre";"4";"twee uithangbordjes rechts";"eend met staart";"twee uithangbordjes rechts : eend met staart";0,425408
"011012";"pre";"5";"liggende staaf erop";"kuikentje met hanenkam";"liggende staaf erop : kuikentje met hanenkam";0,455947
"011012";"pre";"6";"viekant door bol";"helikopter";"viekant door bol : helikopter";0,591995
"011012";"pre";"7";"bakje op plank";"beker door tafel";"bakje op plank : beker door tafel";0,31191
"011012";"pre";"8";"blokjes door ruit";"filter met handvaten";"blokjes door ruit : filter met handvaten";0,374945
"011012";"pre";"9";"ronde plaat erachter";"beker met pollepel";"ronde plaat erachter : beker met pollepel";0,351592
"011012";"pre";"10";"staaf bol uiteinden erdoor";"deegroller door kopje";"staaf bol uiteinden erdoor : deegroller door kopje";0,30898
"011012";"pre";"11";"driehoekig prisma zijkant";"neus en bowlingpin";"driehoekig prisma zijkant : neus en bowlingpin";0,411741
"011012";"pre";"12";"rond dienblad rechts";"plateau en trompet";"rond dienblad rechts : plateau en trompet";0,382385
"011012";"pre";"13";"spiraal erdoor";"kopje met diamanten";"spiraal erdoor : kopje met diamanten";0,438167
"011012";"pre";"14";"balletje erop";"fietsstuur met bolletje";"balletje erop : fietsstuur met bolletje";0,259419
"011012";"pre";"15";"plaat erdoor";"kopje twee stokjes";"plaat erdoor : kopje twee stokjes";0,323205
"011012";"pre";"16";"blokken rechts voor";"bowlingpin bovenkant zijkant";"blokken rechts voor : bowlingpin bovenkant zijkant";0,314453
"011012";"post";"1";"antenne blokjes plaat";"verrekijker met antenne";"antenne blokjes plaat : verrekijker met antenne";0,304005
"011012";"post";"2";"driehoek punt blok";"driehoek bovenop";"driehoek punt blok : driehoek bovenop";0,168457
"011012";"post";"3";"trofee driehoek plateau";"trofee met blokjes";"trofee driehoek plateau : trofee met blokjes";0,29979
"011012";"post";"4";"uithangborden lampenkap staartje";"uithangbordjes en lampenkap";"uithangborden lampenkap staartje : uithangbordjes en lampenkap";0,134259
"011012";"post";"5";"balk erop vleugeltjes";"balk bovenop vleugels";"balk erop vleugeltjes : balk bovenop vleugels";0,0980481
"011012";"post";"6";"zuignap";"bol met zuignap";"zuignap : bol met zuignap";0,135385
"011012";"post";"7";"tafeltje bakje";"tafeltje met bakje";"tafeltje bakje : tafeltje met bakje";0,0344952
"011012";"post";"8";"erachter ruit blokken";"ruit toenemende vierkanten";"erachter ruit blokken : ruit toenemende vierkanten";0,208568
"011012";"post";"9";"ronde plaat erachter";"rechtsbovenin pollepel";"ronde plaat erachter : rechtsbovenin pollepel";0,4708
"011012";"post";"10";"staaf bolletjes zonnescherm";"zonnepaneel balk rondje";"staaf bolletjes zonnescherm : zonnepaneel balk rondje";0,331083
"011012";"post";"11";"bolletje bowlingpin";"bolletje aan voorkant";"bolletje bowlingpin : bolletje aan voorkant";0,199726
"011012";"post";"12";"trompet";"trompet rond plateau";"trompet : trompet rond plateau";0,286356
"011012";"post";"13";"drie puntjes rondje";"diamanten op plateau";"drie puntjes rondje : diamanten op plateau";0,512569
"011012";"post";"14";"staaf bol armpjes";"balk met bol";"staaf bol armpjes : balk met bol";0,259773
"011012";"post";"15";"plaat erdoor slurf";"schijf door midden";"plaat erdoor slurf : schijf door midden";0,30483
"011012";"post";"16";"blokken rechts eruit";"twee bowling pinnen";"blokken rechts eruit : twee bowling pinnen";0,389479
"013014";"pre";"1";"symmetrisch vierkant vlak uitsteeksel";"twee torens links";"symmetrisch vierkant vlak uitsteeksel : twee torens links";0,385181
"013014";"pre";"2";"puntig compact complex";"tol linker kant";"puntig compact complex : tol linker kant";0,618193
"013014";"pre";"3";"complex puntig lang";"spiraal afvoer driehoek";"complex puntig lang : spiraal afvoer driehoek";0,452098
"013014";"pre";"4";"hoekig afgevlakte punt";"hendel links torens";"hoekig afgevlakte punt : hendel links torens";0,399931
"013014";"pre";"5";"symmetrisch complex puntig balk op de bovenkant twee half ronde uitsteeksel aan de zijkant";"lampenkap links rechthoek";"symmetrisch complex puntig balk op de bovenkant twee half ronde uitsteeksel aan de zijkant : lampenkap links rechthoek";0,342346
"013014";"pre";"6";"bekend rond uitsteeksel";"lepel arm voorkant";"bekend rond uitsteeksel : lepel arm voorkant";0,344875
"013014";"pre";"7";"puntig lang";"schap met kommetje";"puntig lang : schap met kommetje";0,480549
"013014";"pre";"8";"symmetrisch puntig twee blokkige uitsteeksel bodem en rechts";"afvoer onder bocht";"symmetrisch puntig twee blokkige uitsteeksel bodem en rechts : afvoer onder bocht";0,33638
"013014";"pre";"9";"niet symmetrisch afgevlakte onderkant cirkel aan de achterzijde";"pentagon staaf links";"niet symmetrisch afgevlakte onderkant cirkel aan de achterzijde : pentagon staaf links";0,371243
"013014";"pre";"10";"langwerpig voorwerp dwars doorheen vlak afgerond";"gieter met zonnepaneel";"langwerpig voorwerp dwars doorheen vlak afgerond : gieter met zonnepaneel";0,49851
"013014";"pre";"11";"bolvormige object aan de voorkant twee puntige uitsteeksels een uitsteeksel aan linkerzijde";"kegel bovenkant bal";"bolvormige object aan de voorkant twee puntige uitsteeksels een uitsteeksel aan linkerzijde : kegel bovenkant bal";0,265836
"013014";"pre";"12";"puntig complex interessant";"pion omgekeerd links";"puntig complex interessant : pion omgekeerd links";0,521546
"013014";"pre";"13";"vlak vierkant bodem cirkel voorkant";"lijn van bolletjes";"vlak vierkant bodem cirkel voorkant : lijn van bolletjes";0,265783
"013014";"pre";"14";"langwerpig ronde form bovenkant";"symetrisch bal bovenkant";"langwerpig ronde form bovenkant : symetrisch bal bovenkant";0,183033
"013014";"pre";"15";"complex puntig compact";"reservoir plaat onderkant";"complex puntig compact : reservoir plaat onderkant";0,334687
"013014";"pre";"16";"kopvormig vier uitsteeksel";"twee ovalen knobbels";"kopvormig vier uitsteeksel : twee ovalen knobbels";0,201269
"013014";"post";"1";"vlak voorkant paddestoel";"paddenstoel";"vlak voorkant paddestoel : paddenstoel";0,408871
"013014";"post";"2";"driehoek erop";"piramide rotzooi";"driehoek erop : piramide rotzooi";0,355476
"013014";"post";"3";"spiraal driehoek bodem";"spiraal met driehoek";"spiraal driehoek bodem : spiraal met driehoek";0,0796958
"013014";"post";"4";"handel afgevlakte driehoek";"afgevlakte driekhoek hendeltje";"handel afgevlakte driehoek : afgevlakte driekhoek hendeltje";0,271985
"013014";"post";"5";"kapjes zijkanten balk erop";"rechthoek bovenkant lampenkap";"kapjes zijkanten balk erop : rechthoek bovenkant lampenkap";0,251716
"013014";"post";"6";"balk door de bol";"slinger bal cirkel";"balk door de bol : slinger bal cirkel";0,294003
"013014";"post";"7";"tafel mok of bakje";"tafel met bakje";"tafel mok of bakje : tafel met bakje";0,085633
"013014";"post";"8";"twee vierkanten met handels van kleinere kubussen";"aangedreven vierkant slurven";"twee vierkanten met handels van kleinere kubussen : aangedreven vierkant slurven";0,260088
"013014";"post";"9";"cirkel achter balk erdoorheen";"cirkel achterkant";"cirkel achter balk erdoorheen : cirkel achterkant";0,144789
"013014";"post";"10";"cilinder achterkant twee bolletjes";"achterliggende staaf knobbels";"cilinder achterkant twee bolletjes : achterliggende staaf knobbels";0,259497
"013014";"post";"11";"bal voorkant uitsteeksel zijkant";"losse bal voorkant";"bal voorkant uitsteeksel zijkant : losse bal voorkant";0,102797
"013014";"post";"12";"mok tafeltje lang gerekte pion";"pion b tafeltje";"mok tafeltje lang gerekte pion : pion b tafeltje";0,156995
"013014";"post";"13";"platte cirkel voorkant";"kleine bolletjes plaat";"platte cirkel voorkant : kleine bolletjes plaat";0,245524
"013014";"post";"14";"bal op balk voorkant";"bal bovenkant balk";"bal op balk voorkant : bal bovenkant balk";0,0644672
"013014";"post";"15";"slurf aan de voorkant plaat door heen";"plaat met slurf";"slurf aan de voorkant plaat door heen : plaat met slurf";0,128498
"013014";"post";"16";"cilinder bocht achter";"buis achterkant knik";"cilinder bocht achter : buis achterkant knik";0,20323
"015016";"pre";"1";"robothoofd met plaat";"vierkant vlak voorkant";"robothoofd met plaat : vierkant vlak voorkant";0,34094
"015016";"pre";"2";"spitse punt omhoog";"driehoek bovenop uitsteeksels";"spitse punt omhoog : driehoek bovenop uitsteeksels";0,192886
"015016";"pre";"3";"getordeerd";"langwerpig blokje driehoek";"getordeerd : langwerpig blokje driehoek";0,283034
"015016";"pre";"4";"twee rechthoeken zijkant";"twee blokken rechts";"twee rechthoeken zijkant : twee blokken rechts";0,171357
"015016";"pre";"5";"v goot";"compact balkje boven";"v goot : compact balkje boven";0,53185
"015016";"pre";"6";"stamper door neus";"ei staaf rondje";"stamper door neus : ei staaf rondje";0,273636
"015016";"pre";"7";"tafel met trechter";"vierkant vlak hoog";"tafel met trechter : vierkant vlak hoog";0,424345
"015016";"pre";"8";"zeepaardje";"uitsteeksels vier zijdes";"zeepaardje : uitsteeksels vier zijdes";0,466077
"015016";"pre";"9";"zeshoekige staaf zijkant";"rondje achterkant";"zeshoekige staaf zijkant : rondje achterkant";0,260393
"015016";"pre";"10";"aanknooppunt voor boten";"uitsteeksels achterkant";"aanknooppunt voor boten : uitsteeksels achterkant";0,541349
"015016";"pre";"11";"v goot zijkant";"vier verschillend uitsteeksels";"v goot zijkant : vier verschillend uitsteeksels";0,452277
"015016";"pre";"12";"toeter op arm";"langwerpig links punt";"toeter op arm : langwerpig links punt";0,411238
"015016";"pre";"13";"geruite handvatten";"vierkant vlak onder";"geruite handvatten : vierkant vlak onder";0,443739
"015016";"pre";"14";"bal op emmer";"ei bovenop staaf";"bal op emmer : ei bovenop staaf";0,264231
