"StartTime","EndTime","director","trial","target","pair","peaks1","peaks2","psum","round"
2269140,2273580,"A","5.6_ref",4,"003004",5,2,7,5
2287790,2290670,"B","5.7_ref",13,"003004",5,5,10,5
2304360,2311970,"A","5.8_ref",12,"003004",8,5,13,5
2321680,2328650,"B","5.9_ref",1,"003004",4,14,18,5
2351550,2354410,"A","5.10_ref",8,"003004",3,0,3,5
2374980,2381510,"B","5.11_ref",15,"003004",7,13,20,5
2397970,2404040,"A","5.12_ref",14,"003004",8,2,10,5
2416250,2422610,"B","5.13_ref",5,"003004",6,6,12,5
2431160,2436150,"A","5.14_ref",16,"003004",6,2,8,5
2448310,2455760,"B","5.15_ref",3,"003004",10,9,19,5
2464080,2469290,"A","5.16_ref",2,"003004",11,2,13,5
2471080,2481060,"B","6.1_ref",10,"003004",4,18,22,6
2492250,2495140,"A","6.2_ref",11,"003004",3,0,3,6
2507830,2513830,"B","6.3_ref",8,"003004",6,2,8,6
2520950,2527190,"A","6.4_ref",7,"003004",16,5,21,6
2553570,2566430,"B","6.5_ref",4,"003004",5,7,12,6
2578640,2584140,"A","6.6_ref",3,"003004",7,5,12,6
2593360,2598860,"B","6.7_ref",14,"003004",3,4,7,6
2621640,2627020,"A","6.8_ref",13,"003004",7,4,11,6
2634640,2641210,"B","6.9_ref",2,"003004",2,5,7,6
2651510,2661230,"A","6.10_ref",9,"003004",9,10,19,6
2667250,2676080,"B","6.11_ref",6,"003004",7,3,10,6
2702370,2708040,"A","6.12_ref",1,"003004",6,5,11,6
2725910,2730160,"B","6.13_ref",16,"003004",1,7,8,6
2744650,2750550,"A","6.14_ref",5,"003004",9,2,11,6
2755270,2763060,"B","6.15_ref",12,"003004",7,7,14,6
2770390,2772780,"A","6.16_ref",15,"003004",2,0,2,6
24120,101920,"B","1.1_ref",9,"005006",74,118,192,1
128210,156660,"A","1.2_ref",6,"005006",48,14,62,1
175180,199240,"B","1.3_ref",15,"005006",19,42,61,1
230870,252620,"A","1.4_ref",14,"005006",31,14,45,1
271900,287040,"B","1.5_ref",13,"005006",14,29,43,1
308260,326510,"A","1.6_ref",16,"005006",34,3,37,1
345610,363650,"B","1.7_ref",11,"005006",7,32,39,1
388320,433910,"A","1.8_ref",8,"005006",82,35,117,1
501500,512850,"B","1.9_ref",3,"005006",5,27,32,1
521360,543220,"A","1.10_ref",10,"005006",41,12,53,1
587000,632260,"B","1.11_ref",5,"005006",43,75,118,1
653660,680240,"A","1.12_ref",4,"005006",22,25,47,1
715320,724810,"B","1.13_ref",7,"005006",5,10,15,1
731850,753780,"A","1.14_ref",2,"005006",55,6,61,1
766010,780010,"B","1.15_ref",1,"005006",3,22,25,1
839730,862720,"A","1.16_ref",12,"005006",48,14,62,1
905350,920300,"B","2.1_ref",14,"005006",3,23,26,2
935100,954840,"A","2.2_ref",9,"005006",46,18,64,2
979370,995570,"B","2.3_ref",16,"005006",16,33,49,2
1011040,1026570,"A","2.4_ref",3,"005006",37,5,42,2
1048760,1060640,"B","2.5_ref",10,"005006",2,24,26,2
1074920,1093160,"A","2.6_ref",11,"005006",40,8,48,2
1116020,1126020,"B","2.7_ref",12,"005006",4,22,26,2
1145580,1155190,"A","2.8_ref",7,"005006",10,5,15,2
1169840,1186690,"B","2.9_ref",6,"005006",10,32,42,2
1200320,1210300,"A","2.10_ref",13,"005006",20,5,25,2
1218170,1231480,"B","2.11_ref",2,"005006",13,25,38,2
1248510,1273870,"A","2.12_ref",15,"005006",47,22,69,2
1279790,1299330,"B","2.13_ref",8,"005006",13,46,59,2
1309050,1318340,"A","2.14_ref",1,"005006",24,4,28,2
1322910,1334300,"B","2.15_ref",4,"005006",6,24,30,2
1359630,1375870,"A","2.16_ref",5,"005006",27,16,43,2
1383340,1401480,"B","3.1_ref",9,"005006",9,38,47,3
1407030,1421140,"A","3.2_ref",10,"005006",20,3,23,3
1458450,1468030,"B","3.3_ref",15,"005006",4,19,23,3
1475100,1489300,"A","3.4_ref",12,"005006",13,5,18,3
1529770,1539310,"B","3.5_ref",1,"005006",3,22,25,3
1550890,1558680,"A","3.6_ref",4,"005006",16,1,17,3
1563460,1570810,"B","3.7_ref",7,"005006",5,7,12,3
1577480,1589060,"A","3.8_ref",16,"005006",21,4,25,3
1604140,1610970,"B","3.9_ref",13,"005006",2,13,15,3
1620430,1627630,"A","3.10_ref",2,"005006",16,1,17,3
1634810,1646420,"B","3.11_ref",11,"005006",3,26,29,3
1654190,1667120,"A","3.12_ref",6,"005006",29,2,31,3
1673580,1683180,"B","3.13_ref",5,"005006",3,23,26,3
1688190,1702840,"A","3.14_ref",8,"005006",23,6,29,3
1708420,1716780,"B","3.15_ref",3,"005006",1,11,12,3
1725290,1735100,"A","3.16_ref",14,"005006",18,3,21,3
1739220,1751890,"B","4.1_ref",10,"005006",3,20,23,4
1772640,1786380,"A","4.2_ref",15,"005006",19,5,24,4
1793310,1809030,"B","4.3_ref",6,"005006",10,20,30,4
1817730,1824360,"A","4.4_ref",1,"005006",14,1,15,4
1829260,1841820,"B","4.5_ref",16,"005006",3,26,29,4
1856120,1862850,"A","4.6_ref",13,"005006",19,1,20,4
1870820,1880570,"B","4.7_ref",12,"005006",3,26,29,4
1884840,1897620,"A","4.8_ref",7,"005006",13,7,20,4
1901700,1908160,"B","4.9_ref",2,"005006",1,14,15,4
1916930,1930590,"A","4.10_ref",9,"005006",26,3,29,4
1935810,1942940,"B","4.11_ref",14,"005006",3,13,16,4
1953040,1964070,"A","4.12_ref",5,"005006",5,12,17,4
1968340,1976940,"B","4.13_ref",8,"005006",1,16,17,4
1982530,1992470,"A","4.14_ref",11,"005006",23,1,24,4
1997560,2008260,"B","4.15_ref",4,"005006",2,21,23,4
2012510,2020060,"A","4.16_ref",3,"005006",15,1,16,4
2026150,2035110,"B","5.1_ref",7,"005006",3,6,9,5
2103020,2114470,"A","5.2_ref",6,"005006",25,8,33,5
2122400,2133220,"B","5.3_ref",11,"005006",2,16,18,5
2144040,2156050,"A","5.4_ref",10,"005006",20,4,24,5
2171210,2200440,"B","5.5_ref",9,"005006",16,49,65,5
2207200,2216060,"A","5.6_ref",4,"005006",10,2,12,5
2223400,2229150,"B","5.7_ref",13,"005006",2,7,9,5
2235460,2241300,"A","5.8_ref",12,"005006",9,1,10,5
2244490,2258880,"B","5.9_ref",1,"005006",8,17,25,5
2267920,2295200,"A","5.10_ref",8,"005006",36,15,51,5
2300160,2308910,"B","5.11_ref",15,"005006",2,10,12,5
2316160,2323460,"A","5.12_ref",14,"005006",16,2,18,5
2331450,2340150,"B","5.13_ref",5,"005006",2,10,12,5
2350510,2358510,"A","5.14_ref",16,"005006",18,3,21,5
2364690,2373790,"B","5.15_ref",3,"005006",1,13,14,5
2382630,2394200,"A","5.16_ref",2,"005006",4,10,14,5
2397100,2406870,"B","6.1_ref",10,"005006",2,10,12,6
2423550,2433120,"A","6.2_ref",11,"005006",14,1,15,6
2508880,2519470,"B","6.3_ref",8,"005006",4,17,21,6
2527080,2533090,"A","6.4_ref",7,"005006",10,1,11,6
2552570,2561230,"B","6.5_ref",4,"005006",3,12,15,6
2572070,2583960,"A","6.6_ref",3,"005006",22,2,24,6
2593980,2602070,"B","6.7_ref",14,"005006",1,12,13,6
2608500,2614170,"A","6.8_ref",13,"005006",11,1,12,6
2620690,2627950,"B","6.9_ref",2,"005006",1,8,9,6
2635540,2644980,"A","6.10_ref",9,"005006",17,3,20,6
2650410,2659450,"B","6.11_ref",6,"005006",2,22,24,6
2669990,2676370,"A","6.12_ref",1,"005006",14,1,15,6
2685480,2692290,"B","6.13_ref",16,"005006",3,15,18,6
2696200,2703710,"A","6.14_ref",5,"005006",5,6,11,6
2706710,2713820,"B","6.15_ref",12,"005006",2,11,13,6
2723690,2735830,"A","6.16_ref",15,"005006",17,4,21,6
1560,145860,"B","1.1_ref",9,"007008",214,191,405,1
165390,207550,"A","1.2_ref",6,"007008",52,52,104,1
226890,252310,"B","1.3_ref",15,"007008",26,37,63,1
275620,292760,"A","1.4_ref",14,"007008",22,15,37,1
309500,334780,"B","1.5_ref",13,"007008",23,25,48,1
384810,473120,"A","1.6_ref",16,"007008",149,68,217,1
499270,527570,"B","1.7_ref",11,"007008",16,44,60,1
539550,592010,"A","1.8_ref",8,"007008",68,69,137,1
607770,632570,"B","1.9_ref",3,"007008",32,44,76,1
668900,698160,"A","1.10_ref",10,"007008",44,35,79,1
723560,758070,"B","1.11_ref",5,"007008",41,50,91,1
771590,796690,"A","1.12_ref",4,"007008",50,16,66,1
808860,876430,"B","1.13_ref",7,"007008",87,107,194,1
898740,926600,"A","1.14_ref",2,"007008",29,22,51,1
944220,962350,"B","1.15_ref",1,"007008",19,34,53,1
983920,1012810,"A","1.16_ref",12,"007008",39,22,61,1
1035180,1060060,"B","2.1_ref",14,"007008",16,32,48,2
1076130,1093680,"A","2.2_ref",9,"007008",22,7,29,2
1113250,1131770,"B","2.3_ref",16,"007008",10,26,36,2
1139170,1152560,"A","2.4_ref",3,"007008",28,8,36,2
1170300,1187140,"B","2.5_ref",10,"007008",7,16,23,2
1213060,1239380,"A","2.6_ref",11,"007008",50,17,67,2
1250050,1259310,"B","2.7_ref",12,"007008",6,13,19,2
1299700,1308350,"A","2.8_ref",7,"007008",10,3,13,2
1338030,1349010,"B","2.9_ref",6,"007008",6,14,20,2
1378220,1388190,"A","2.10_ref",13,"007008",14,3,17,2
1402140,1418440,"B","2.11_ref",2,"007008",7,14,21,2
1447330,1458840,"A","2.12_ref",15,"007008",22,5,27,2
1478370,1496670,"B","2.13_ref",8,"007008",14,19,33,2
1505250,1536600,"A","2.14_ref",1,"007008",41,18,59,2
1546860,1554300,"B","2.15_ref",4,"007008",3,14,17,2
1577380,1589310,"A","2.16_ref",5,"007008",19,4,23,2
1598380,1649250,"B","3.1_ref",9,"007008",44,88,132,3
1662200,1677130,"A","3.2_ref",10,"007008",26,13,39,3
1700310,1715320,"B","3.3_ref",15,"007008",10,25,35,3
1728200,1738430,"A","3.4_ref",12,"007008",7,9,16,3
1776500,1790810,"B","3.5_ref",1,"007008",5,29,34,3
1805150,1811280,"A","3.6_ref",4,"007008",5,2,7,3
1825440,1836380,"B","3.7_ref",7,"007008",7,10,17,3
1839910,1856590,"A","3.8_ref",16,"007008",16,8,24,3
1868640,1878740,"B","3.9_ref",13,"007008",2,15,17,3
1892050,1900950,"A","3.10_ref",2,"007008",14,2,16,3
1914210,1929670,"B","3.11_ref",11,"007008",5,19,24,3
1939430,1948840,"A","3.12_ref",6,"007008",15,5,20,3
1956250,1970560,"B","3.13_ref",5,"007008",6,23,29,3
1975740,1984540,"A","3.14_ref",8,"007008",9,2,11,3
2002810,2010650,"B","3.15_ref",3,"007008",2,14,16,3
2017930,2040950,"A","3.16_ref",14,"007008",30,20,50,3
2069150,2076140,"B","4.1_ref",10,"007008",4,7,11,4
2088440,2096800,"A","4.2_ref",15,"007008",6,2,8,4
2103890,2112410,"B","4.3_ref",6,"007008",5,12,17,4
2122040,2141470,"A","4.4_ref",1,"007008",24,8,32,4
2155680,2167360,"B","4.5_ref",16,"007008",1,18,19,4
2191610,2199110,"A","4.6_ref",13,"007008",9,1,10,4
2214460,2221900,"B","4.7_ref",12,"007008",6,13,19,4
2234810,2243680,"A","4.8_ref",7,"007008",12,2,14,4
2262360,2271510,"B","4.9_ref",2,"007008",1,11,12,4
2284970,2300830,"A","4.10_ref",9,"007008",16,5,21,4
2314960,2330910,"B","4.11_ref",14,"007008",7,24,31,4
2348940,2365450,"A","4.12_ref",5,"007008",25,17,42,4
2387100,2395060,"B","4.13_ref",8,"007008",3,12,15,4
2418620,2430200,"A","4.14_ref",11,"007008",16,3,19,4
2448390,2453320,"B","4.15_ref",4,"007008",1,5,6,4
2466700,2472740,"A","4.16_ref",3,"007008",5,2,7,4
2478670,2484700,"B","5.1_ref",7,"007008",8,9,17,5
2511410,2518840,"A","5.2_ref",6,"007008",9,2,11,5
2525020,2534720,"B","5.3_ref",11,"007008",3,19,22,5
2568830,2577670,"A","5.4_ref",10,"007008",7,3,10,5
2586280,2598320,"B","5.5_ref",9,"007008",1,16,17,5
2603080,2614070,"A","5.6_ref",4,"007008",11,5,16,5
2626920,2635100,"B","5.7_ref",13,"007008",2,15,17,5
2646710,2655370,"A","5.8_ref",12,"007008",7,1,8,5
2665250,2677920,"B","5.9_ref",1,"007008",6,21,27,5
2693390,2701970,"A","5.10_ref",8,"007008",13,2,15,5
2707760,2715190,"B","5.11_ref",15,"007008",1,10,11,5
2727440,2734830,"A","5.12_ref",14,"007008",14,2,16,5
2741460,2754880,"B","5.13_ref",5,"007008",1,14,15,5
2769450,2785930,"A","5.14_ref",16,"007008",14,3,17,5
2804270,2810080,"B","5.15_ref",3,"007008",1,5,6,5
2815670,2824930,"A","5.16_ref",2,"007008",15,0,15,5
2830510,2836220,"B","6.1_ref",10,"007008",9,10,19,6
2854430,2872250,"A","6.2_ref",11,"007008",19,15,34,6
2885300,2892470,"B","6.3_ref",8,"007008",1,11,12,6
2898790,2906030,"A","6.4_ref",7,"007008",4,2,6,6
2914990,2921220,"B","6.5_ref",4,"007008",2,4,6,6
2940980,2946280,"A","6.6_ref",3,"007008",5,2,7,6
2960590,2968870,"B","6.7_ref",14,"007008",1,12,13,6
2973740,2980630,"A","6.8_ref",13,"007008",7,2,9,6
2986420,2996930,"B","6.9_ref",2,"007008",2,9,11,6
3050210,3063130,"A","6.10_ref",9,"007008",14,2,16,6
3071780,3081350,"B","6.11_ref",6,"007008",1,11,12,6
3122440,3130140,"A","6.12_ref",1,"007008",11,2,13,6
3144400,3156380,"B","6.13_ref",16,"007008",4,15,19,6
3159410,3169350,"A","6.14_ref",5,"007008",10,2,12,6
3172790,3183280,"B","6.15_ref",12,"007008",2,11,13,6
3189730,3195220,"A","6.16_ref",15,"007008",6,0,6,6
3080,82980,"B","1.1_ref",9,"009010",72,108,180,1
121460,201880,"A","1.2_ref",6,"009010",103,140,243,1
257230,299230,"B","1.3_ref",15,"009010",43,80,123,1
328930,379260,"A","1.4_ref",14,"009010",72,64,136,1
403290,441020,"B","1.5_ref",13,"009010",34,80,114,1
492950,588830,"A","1.6_ref",16,"009010",186,100,286,1
603100,629520,"B","1.7_ref",11,"009010",18,48,66,1
663830,726510,"A","1.8_ref",8,"009010",98,86,184,1
763020,801720,"B","1.9_ref",3,"009010",33,78,111,1
818740,848480,"A","1.10_ref",10,"009010",53,67,120,1
856250,891880,"B","1.11_ref",5,"009010",20,60,80,1
904080,932200,"A","1.12_ref",4,"009010",35,46,81,1
943330,979030,"B","1.13_ref",7,"009010",21,67,88,1
985620,1014250,"A","1.14_ref",2,"009010",50,8,58,1
1024670,1041990,"B","1.15_ref",1,"009010",12,42,54,1
1088100,1127910,"A","1.16_ref",12,"009010",72,53,125,1
1148950,1170550,"B","2.1_ref",14,"009010",29,47,76,2
1183120,1220720,"A","2.2_ref",9,"009010",43,45,88,2
1234970,1271390,"B","2.3_ref",16,"009010",46,66,112,2
1278270,1292860,"A","2.4_ref",3,"009010",19,15,34,2
1318040,1327280,"B","2.5_ref",10,"009010",2,20,22,2
1350940,1371260,"A","2.6_ref",11,"009010",32,36,68,2
1378560,1389590,"B","2.7_ref",12,"009010",3,25,28,2
1448610,1467350,"A","2.8_ref",7,"009010",18,5,23,2
1479550,1486640,"B","2.9_ref",6,"009010",2,12,14,2
1519010,1525240,"A","2.10_ref",13,"009010",4,5,9,2
1532360,1549240,"B","2.11_ref",2,"009010",10,19,29,2
1565170,1578710,"A","2.12_ref",15,"009010",19,21,40,2
1587970,1606790,"B","2.13_ref",8,"009010",15,36,51,2
1618780,1632970,"A","2.14_ref",1,"009010",12,20,32,2
1642220,1652130,"B","2.15_ref",4,"009010",7,20,27,2
1681770,1692260,"A","2.16_ref",5,"009010",18,6,24,2
1700940,1717500,"B","3.1_ref",9,"009010",6,34,40,3
1724610,1735590,"A","3.2_ref",10,"009010",18,17,35,3
1761850,1774980,"B","3.3_ref",15,"009010",8,19,27,3
1786440,1798390,"A","3.4_ref",12,"009010",21,8,29,3
1822980,1838570,"B","3.5_ref",1,"009010",5,25,30,3
1856570,1864840,"A","3.6_ref",4,"009010",5,9,14,3
1869780,1880900,"B","3.7_ref",7,"009010",5,12,17,3
1893040,1913400,"A","3.8_ref",16,"009010",33,21,54,3
1924320,1940790,"B","3.9_ref",13,"009010",15,29,44,3
1954830,1970050,"A","3.10_ref",2,"009010",26,13,39,3
1984280,1998400,"B","3.11_ref",11,"009010",6,28,34,3
2010220,2028560,"A","3.12_ref",6,"009010",16,15,31,3
2032670,2042080,"B","3.13_ref",5,"009010",5,14,19,3
2049340,2061910,"A","3.14_ref",8,"009010",16,3,19,3
2076150,2087260,"B","3.15_ref",3,"009010",4,8,12,3
2098270,2109590,"A","3.16_ref",14,"009010",10,8,18,3
2131810,2141640,"B","4.1_ref",10,"009010",5,14,19,4
2159190,2167040,"A","4.2_ref",15,"009010",9,11,20,4
2174200,2181480,"B","4.3_ref",6,"009010",5,8,13,4
2213060,2219850,"A","4.4_ref",1,"009010",6,5,11,4
2228170,2241060,"B","4.5_ref",16,"009010",13,14,27,4
2248290,2254280,"A","4.6_ref",13,"009010",5,4,9,4
2286330,2294660,"B","4.7_ref",12,"009010",4,16,20,4
2312570,2324720,"A","4.8_ref",7,"009010",15,6,21,4
2338230,2346120,"B","4.9_ref",2,"009010",4,19,23,4
2357090,2370030,"A","4.10_ref",9,"009010",22,5,27,4
2378980,2388940,"B","4.11_ref",14,"009010",4,17,21,4
2409290,2417490,"A","4.12_ref",5,"009010",11,5,16,4
2428500,2440040,"B","4.13_ref",8,"009010",3,21,24,4
2446980,2457300,"A","4.14_ref",11,"009010",23,10,33,4
2475980,2490060,"B","4.15_ref",4,"009010",9,18,27,4
2508090,2513920,"A","4.16_ref",3,"009010",8,5,13,4
2517720,2530010,"B","5.1_ref",7,"009010",4,25,29,5
2540280,2546150,"A","5.2_ref",6,"009010",6,4,10,5
2564730,2574600,"B","5.3_ref",11,"009010",3,19,22,5
2590990,2601000,"A","5.4_ref",10,"009010",14,8,22,5
2619110,2629260,"B","5.5_ref",9,"009010",3,17,20,5
2640830,2646830,"A","5.6_ref",4,"009010",6,7,13,5
2658480,2665040,"B","5.7_ref",13,"009010",2,5,7,5
2673420,2680370,"A","5.8_ref",12,"009010",12,3,15,5
2702370,2711050,"B","5.9_ref",1,"009010",1,10,11,5
2730640,2740480,"A","5.10_ref",8,"009010",21,4,25,5
2750510,2758160,"B","5.11_ref",15,"009010",3,10,13,5
2768580,2775090,"A","5.12_ref",14,"009010",10,6,16,5
2790030,2799310,"B","5.13_ref",5,"009010",4,18,22,5
2814920,2826970,"A","5.14_ref",16,"009010",18,10,28,5
2876580,2885290,"B","5.15_ref",3,"009010",4,9,13,5
2897000,2913540,"A","5.16_ref",2,"009010",20,16,36,5
2917900,2924760,"B","6.1_ref",10,"009010",1,7,8,6
2945900,2953780,"A","6.2_ref",11,"009010",10,3,13,6
2974940,2983240,"B","6.3_ref",8,"009010",3,16,19,6
3008230,3016640,"A","6.4_ref",7,"009010",14,5,19,6
3063760,3069150,"B","6.5_ref",4,"009010",3,4,7,6
3079690,3087010,"A","6.6_ref",3,"009010",6,10,16,6
3097280,3106490,"B","6.7_ref",14,"009010",2,14,16,6
3112190,3117490,"A","6.8_ref",13,"009010",4,1,5,6
3131290,3142010,"B","6.9_ref",2,"009010",7,17,24,6
3174320,3183690,"A","6.10_ref",9,"009010",7,6,13,6
3190130,3196720,"B","6.11_ref",6,"009010",5,6,11,6
3213200,3219120,"A","6.12_ref",1,"009010",5,5,10,6
3230350,3238260,"B","6.13_ref",16,"009010",4,9,13,6
3250150,3259330,"A","6.14_ref",5,"009010",20,3,23,6
3263150,3275500,"B","6.15_ref",12,"009010",11,24,35,6
3298520,3304060,"A","6.16_ref",15,"009010",4,5,9,6
2290,52770,"B","1.1_ref",9,"013014",26,64,90,1
121580,137250,"A","1.2_ref",6,"013014",36,3,39,1
161550,182670,"B","1.3_ref",15,"013014",16,34,50,1
276130,291370,"A","1.4_ref",14,"013014",17,9,26,1
311200,327680,"B","1.5_ref",13,"013014",14,22,36,1
353370,389170,"A","1.6_ref",16,"013014",54,19,73,1
401750,423560,"B","1.7_ref",11,"013014",9,36,45,1
458600,496300,"A","1.8_ref",8,"013014",75,12,87,1
519510,539840,"B","1.9_ref",3,"013014",21,29,50,1
563700,609710,"A","1.10_ref",10,"013014",98,10,108,1
637410,691380,"B","1.11_ref",5,"013014",31,96,127,1
700370,729650,"A","1.12_ref",4,"013014",34,18,52,1
766870,780950,"B","1.13_ref",7,"013014",7,27,34,1
803600,824090,"A","1.14_ref",2,"013014",18,15,33,1
851870,872390,"B","1.15_ref",1,"013014",16,28,44,1
928170,955310,"A","1.16_ref",12,"013014",60,9,69,1
974120,985730,"B","2.1_ref",14,"013014",7,14,21,2
996910,1012220,"A","2.2_ref",9,"013014",17,18,35,2
1030220,1066980,"B","2.3_ref",16,"013014",27,60,87,2
1083890,1099340,"A","2.4_ref",3,"013014",28,5,33,2
1118550,1129650,"B","2.5_ref",10,"013014",7,25,32,2
1140860,1149910,"A","2.6_ref",11,"013014",9,6,15,2
1162110,1187870,"B","2.7_ref",12,"013014",30,43,73,2
1234160,1245240,"A","2.8_ref",7,"013014",12,7,19,2
1302360,1310340,"B","2.9_ref",6,"013014",3,14,17,2
1354230,1377780,"A","2.10_ref",13,"013014",34,9,43,2
1394080,1405530,"B","2.11_ref",2,"013014",5,10,15,2
1428540,1458980,"A","2.12_ref",15,"013014",47,15,62,2
1491820,1503550,"B","2.13_ref",8,"013014",10,22,32,2
1513770,1524980,"A","2.14_ref",1,"013014",19,7,26,2
1555370,1602720,"B","2.15_ref",4,"013014",47,72,119,2
1632280,1648160,"A","2.16_ref",5,"013014",21,13,34,2
1673580,1693090,"B","3.1_ref",9,"013014",13,37,50,3
1709030,1731250,"A","3.2_ref",10,"013014",28,24,52,3
1761150,1774950,"B","3.3_ref",15,"013014",12,10,22,3
1804280,1826390,"A","3.4_ref",12,"013014",33,14,47,3
1884500,1892620,"B","3.5_ref",1,"013014",9,9,18,3
1921360,1935720,"A","3.6_ref",4,"013014",27,5,32,3
1976780,1984770,"B","3.7_ref",7,"013014",6,6,12,3
2001660,2035530,"A","3.8_ref",16,"013014",55,20,75,3
2048610,2056390,"B","3.9_ref",13,"013014",3,13,16,3
2094410,2107740,"A","3.10_ref",2,"013014",13,21,34,3
2166600,2177690,"B","3.11_ref",11,"013014",17,19,36,3
2200790,2210490,"A","3.12_ref",6,"013014",12,8,20,3
2243480,2264120,"B","3.13_ref",5,"013014",18,42,60,3
2278510,2300830,"A","3.14_ref",8,"013014",49,10,59,3
2311870,2320870,"B","3.15_ref",3,"013014",5,15,20,3
2334650,2341020,"A","3.16_ref",14,"013014",7,2,9,3
2350800,2361370,"B","4.1_ref",10,"013014",4,17,21,4
2444290,2452100,"A","4.2_ref",15,"013014",14,6,20,4
2532460,2540170,"B","4.3_ref",6,"013014",5,14,19,4
2573900,2580960,"A","4.4_ref",1,"013014",12,3,15,4
2607990,2624900,"B","4.5_ref",16,"013014",8,19,27,4
2655250,2665840,"A","4.6_ref",13,"013014",15,6,21,4
2692570,2712940,"B","4.7_ref",12,"013014",9,30,39,4
2734310,2743970,"A","4.8_ref",7,"013014",10,3,13,4
