"StartTime","EndTime","director","trial","target","pair","range1","range2","f0sum","round"
2416250,2422610,"B","5.13_ref",5,"003004",0.002832,0.071842,0.074674,5
2431160,2436150,"A","5.14_ref",16,"003004",0.144466,0.125567,0.270033,5
2448310,2455760,"B","5.15_ref",3,"003004",0.114062,0.13073,0.244792,5
2464080,2469290,"A","5.16_ref",2,"003004",0.166897,0.140565,0.307462,5
2471080,2481060,"B","6.1_ref",10,"003004",0,0.137796,0.137796,6
2492250,2495140,"A","6.2_ref",11,"003004",0.143739,0,0.143739,6
2507830,2513830,"B","6.3_ref",8,"003004",0.009518,0.087541,0.097059,6
2520950,2527190,"A","6.4_ref",7,"003004",0.124098,0.092846,0.216944,6
2553570,2566430,"B","6.5_ref",4,"003004",0,0.108375,0.108375,6
2578640,2584140,"A","6.6_ref",3,"003004",0.149763,0.066235,0.215998,6
2593360,2598860,"B","6.7_ref",14,"003004",0.121905,0.083943,0.205848,6
2621640,2627020,"A","6.8_ref",13,"003004",0.161976,0.111316,0.273292,6
2634640,2641210,"B","6.9_ref",2,"003004",0.006069,0.035288,0.041357,6
2651510,2661230,"A","6.10_ref",9,"003004",0.18143,0.092559,0.273989,6
2667250,2676080,"B","6.11_ref",6,"003004",0.164684,0.069316,0.234,6
2702370,2708040,"A","6.12_ref",1,"003004",0.194008,0.071319,0.265327,6
2725910,2730160,"B","6.13_ref",16,"003004",0,0.164913,0.164913,6
2744650,2750550,"A","6.14_ref",5,"003004",0.159544,0.010662,0.170206,6
2755270,2763060,"B","6.15_ref",12,"003004",0.059844,0.089251,0.149095,6
2770390,2772780,"A","6.16_ref",15,"003004",0.214614,0,0.214614,6
24120,101920,"B","1.1_ref",9,"005006",0.087866,0.138917,0.226783,1
128210,156660,"A","1.2_ref",6,"005006",0.125392,0.08294,0.208332,1
175180,199240,"B","1.3_ref",15,"005006",0.085669,0.173343,0.259012,1
230870,252620,"A","1.4_ref",14,"005006",0.126711,0.055884,0.182595,1
271900,287040,"B","1.5_ref",13,"005006",0.017932,0.089452,0.107384,1
308260,326510,"A","1.6_ref",16,"005006",0.12538,0,0.12538,1
345610,363650,"B","1.7_ref",11,"005006",0.064693,0.081141,0.145834,1
388320,433910,"A","1.8_ref",8,"005006",0.103086,0.096414,0.1995,1
501500,512850,"B","1.9_ref",3,"005006",0.081695,0.222067,0.303762,1
521360,543220,"A","1.10_ref",10,"005006",0.060422,0.082198,0.14262,1
587000,632260,"B","1.11_ref",5,"005006",0.085185,0.130968,0.216153,1
653660,680240,"A","1.12_ref",4,"005006",0.090943,0.089883,0.180826,1
715320,724810,"B","1.13_ref",7,"005006",0.051621,0.092526,0.144147,1
731850,753780,"A","1.14_ref",2,"005006",0.314877,0.049268,0.364145,1
766010,780010,"B","1.15_ref",1,"005006",0.031947,0.166291,0.198238,1
839730,862720,"A","1.16_ref",12,"005006",0.129203,0.090288,0.219491,1
905350,920300,"B","2.1_ref",14,"005006",0,0.175709,0.175709,2
935100,954840,"A","2.2_ref",9,"005006",0.0924,0.07772,0.17012,2
979370,995570,"B","2.3_ref",16,"005006",0.04285,0.167941,0.210791,2
1011040,1026570,"A","2.4_ref",3,"005006",0.104875,0.0838,0.188675,2
1048760,1060640,"B","2.5_ref",10,"005006",0.039455,0.132449,0.171904,2
1074920,1093160,"A","2.6_ref",11,"005006",0.096117,0.062874,0.158991,2
1116020,1126020,"B","2.7_ref",12,"005006",0.072464,0.142774,0.215238,2
1145580,1155190,"A","2.8_ref",7,"005006",0.035748,0.19522,0.230968,2
1169840,1186690,"B","2.9_ref",6,"005006",0.040706,0.142671,0.183377,2
1200320,1210300,"A","2.10_ref",13,"005006",0.033988,0.051198,0.085186,2
1218170,1231480,"B","2.11_ref",2,"005006",0.030882,0.115317,0.146199,2
1248510,1273870,"A","2.12_ref",15,"005006",0.089999,0.074998,0.164997,2
1279790,1299330,"B","2.13_ref",8,"005006",0.06724,0.14994,0.21718,2
1309050,1318340,"A","2.14_ref",1,"005006",0.038252,0.079783,0.118035,2
1322910,1334300,"B","2.15_ref",4,"005006",0.082418,0.108843,0.191261,2
1359630,1375870,"A","2.16_ref",5,"005006",0.116809,0.090647,0.207456,2
1383340,1401480,"B","3.1_ref",9,"005006",0.081346,0.17265,0.253996,3
1407030,1421140,"A","3.2_ref",10,"005006",0.094708,0,0.094708,3
1458450,1468030,"B","3.3_ref",15,"005006",0.059972,0.084461,0.144433,3
1475100,1489300,"A","3.4_ref",12,"005006",0.043713,0.104306,0.148019,3
1529770,1539310,"B","3.5_ref",1,"005006",0.025735,0.082598,0.108333,3
1550890,1558680,"A","3.6_ref",4,"005006",0.192195,0.045732,0.237927,3
1563460,1570810,"B","3.7_ref",7,"005006",0.054764,0.058023,0.112787,3
1577480,1589060,"A","3.8_ref",16,"005006",0.057622,0.053742,0.111364,3
1604140,1610970,"B","3.9_ref",13,"005006",0.004018,0.080643,0.084661,3
1620430,1627630,"A","3.10_ref",2,"005006",0.051949,0.054733,0.106682,3
1634810,1646420,"B","3.11_ref",11,"005006",0.040469,0.10207,0.142539,3
1654190,1667120,"A","3.12_ref",6,"005006",0.062052,0,0.062052,3
1673580,1683180,"B","3.13_ref",5,"005006",0.081035,0.046003,0.127038,3
1688190,1702840,"A","3.14_ref",8,"005006",0.034859,0.071442,0.106301,3
1708420,1716780,"B","3.15_ref",3,"005006",0.051694,0.045622,0.097316,3
1725290,1735100,"A","3.16_ref",14,"005006",0.068377,0.053801,0.122178,3
1739220,1751890,"B","4.1_ref",10,"005006",0.122184,0.090314,0.212498,4
1772640,1786380,"A","4.2_ref",15,"005006",0.044888,0.155519,0.200407,4
1793310,1809030,"B","4.3_ref",6,"005006",0.086337,0.113518,0.199855,4
1817730,1824360,"A","4.4_ref",1,"005006",0.064273,0,0.064273,4
1829260,1841820,"B","4.5_ref",16,"005006",0.017878,0.048945,0.066823,4
1856120,1862850,"A","4.6_ref",13,"005006",0.061485,0.031351,0.092836,4
1870820,1880570,"B","4.7_ref",12,"005006",0.013902,0.098183,0.112085,4
1884840,1897620,"A","4.8_ref",7,"005006",0.054031,0.067671,0.121702,4
1901700,1908160,"B","4.9_ref",2,"005006",0.053903,0.044044,0.097947,4
1916930,1930590,"A","4.10_ref",9,"005006",0.08359,0.046008,0.129598,4
1935810,1942940,"B","4.11_ref",14,"005006",0,0.08895,0.08895,4
1953040,1964070,"A","4.12_ref",5,"005006",0.029118,0.071723,0.100841,4
1968340,1976940,"B","4.13_ref",8,"005006",0.037889,0.059507,0.097396,4
1982530,1992470,"A","4.14_ref",11,"005006",0.036523,0.04726,0.083783,4
1997560,2008260,"B","4.15_ref",4,"005006",0.037067,0.064508,0.101575,4
2012510,2020060,"A","4.16_ref",3,"005006",0.068029,0.054981,0.12301,4
2026150,2035110,"B","5.1_ref",7,"005006",0,0.032212,0.032212,5
2103020,2114470,"A","5.2_ref",6,"005006",0.064273,0,0.064273,5
2122400,2133220,"B","5.3_ref",11,"005006",0,0.05189,0.05189,5
2144040,2156050,"A","5.4_ref",10,"005006",0.068485,0.053053,0.121538,5
2171210,2200440,"B","5.5_ref",9,"005006",0.042239,0.095896,0.138135,5
2207200,2216060,"A","5.6_ref",4,"005006",0.034383,0.05931,0.093693,5
2223400,2229150,"B","5.7_ref",13,"005006",0,0.051885,0.051885,5
2235460,2241300,"A","5.8_ref",12,"005006",0.033532,0,0.033532,5
2244490,2258880,"B","5.9_ref",1,"005006",0.030053,0.062101,0.092154,5
2267920,2295200,"A","5.10_ref",8,"005006",0.06713,0.129341,0.196471,5
2300160,2308910,"B","5.11_ref",15,"005006",0.04646,0.037482,0.083942,5
2316160,2323460,"A","5.12_ref",14,"005006",0.024431,0.018322,0.042753,5
2331450,2340150,"B","5.13_ref",5,"005006",0,0.053987,0.053987,5
2350510,2358510,"A","5.14_ref",16,"005006",0.037781,0.058713,0.096494,5
2364690,2373790,"B","5.15_ref",3,"005006",0.05761,0.06654,0.12415,5
2382630,2394200,"A","5.16_ref",2,"005006",0.042948,0.064174,0.107122,5
2397100,2406870,"B","6.1_ref",10,"005006",0,0.04446,0.04446,6
2423550,2433120,"A","6.2_ref",11,"005006",0.055503,0.039224,0.094727,6
2508880,2519470,"B","6.3_ref",8,"005006",0.061557,0.054373,0.11593,6
2527080,2533090,"A","6.4_ref",7,"005006",0.057526,0.013202,0.070728,6
2552570,2561230,"B","6.5_ref",4,"005006",0,0.060877,0.060877,6
2572070,2583960,"A","6.6_ref",3,"005006",0.045143,0,0.045143,6
2593980,2602070,"B","6.7_ref",14,"005006",0,0.080123,0.080123,6
2608500,2614170,"A","6.8_ref",13,"005006",0.041097,0.030364,0.071461,6
2620690,2627950,"B","6.9_ref",2,"005006",0.080035,0.05928,0.139315,6
2635540,2644980,"A","6.10_ref",9,"005006",0.040113,0.034857,0.07497,6
2650410,2659450,"B","6.11_ref",6,"005006",0,0.06137,0.06137,6
2669990,2676370,"A","6.12_ref",1,"005006",0.050911,0.011993,0.062904,6
2685480,2692290,"B","6.13_ref",16,"005006",0.040936,0.057503,0.098439,6
2696200,2703710,"A","6.14_ref",5,"005006",0.077202,0.052809,0.130011,6
2706710,2713820,"B","6.15_ref",12,"005006",0.008822,0.035682,0.044504,6
2723690,2735830,"A","6.16_ref",15,"005006",0.047539,0,0.047539,6
1560,145860,"B","1.1_ref",9,"007008",0.105554,0.11004,0.215594,1
165390,207550,"A","1.2_ref",6,"007008",0.093416,0.105556,0.198972,1
226890,252310,"B","1.3_ref",15,"007008",0.152936,0.099845,0.252781,1
275620,292760,"A","1.4_ref",14,"007008",0,0.101553,0.101553,1
309500,334780,"B","1.5_ref",13,"007008",0.011018,0.075779,0.086797,1
384810,473120,"A","1.6_ref",16,"007008",0.09288,0.088799,0.181679,1
499270,527570,"B","1.7_ref",11,"007008",0,0.104768,0.104768,1
539550,592010,"A","1.8_ref",8,"007008",0.155482,0.087692,0.243174,1
607770,632570,"B","1.9_ref",3,"007008",0.094395,0.111971,0.206366,1
668900,698160,"A","1.10_ref",10,"007008",0.090356,0.121462,0.211818,1
723560,758070,"B","1.11_ref",5,"007008",0.103598,0.099576,0.203174,1
771590,796690,"A","1.12_ref",4,"007008",0.203389,0.128451,0.33184,1
808860,876430,"B","1.13_ref",7,"007008",0.20744,0.102108,0.309548,1
898740,926600,"A","1.14_ref",2,"007008",0.051234,0.072934,0.124168,1
944220,962350,"B","1.15_ref",1,"007008",0.231763,0.095492,0.327255,1
983920,1012810,"A","1.16_ref",12,"007008",0.092235,0.08638,0.178615,1
1035180,1060060,"B","2.1_ref",14,"007008",0.04372,0.08653,0.13025,2
1076130,1093680,"A","2.2_ref",9,"007008",0.090201,0.099351,0.189552,2
1113250,1131770,"B","2.3_ref",16,"007008",0,0.078849,0.078849,2
1139170,1152560,"A","2.4_ref",3,"007008",0.200124,0.120151,0.320275,2
1170300,1187140,"B","2.5_ref",10,"007008",0,0.06457,0.06457,2
1213060,1239380,"A","2.6_ref",11,"007008",0.162435,0.094258,0.256693,2
1250050,1259310,"B","2.7_ref",12,"007008",0.107362,0.053804,0.161166,2
1299700,1308350,"A","2.8_ref",7,"007008",0,0.104578,0.104578,2
1338030,1349010,"B","2.9_ref",6,"007008",0,0.072692,0.072692,2
1378220,1388190,"A","2.10_ref",13,"007008",0,0,0,2
1402140,1418440,"B","2.11_ref",2,"007008",0.078589,0.078109,0.156698,2
1447330,1458840,"A","2.12_ref",15,"007008",0,0.074906,0.074906,2
1478370,1496670,"B","2.13_ref",8,"007008",0,0.059592,0.059592,2
1505250,1536600,"A","2.14_ref",1,"007008",0.121017,0.071596,0.192613,2
1546860,1554300,"B","2.15_ref",4,"007008",0,0.08605,0.08605,2
1577380,1589310,"A","2.16_ref",5,"007008",0.081524,0.072275,0.153799,2
1598380,1649250,"B","3.1_ref",9,"007008",0.102245,0.09604,0.198285,3
1662200,1677130,"A","3.2_ref",10,"007008",0.049422,0.10667,0.156092,3
1700310,1715320,"B","3.3_ref",15,"007008",0,0.060986,0.060986,3
1728200,1738430,"A","3.4_ref",12,"007008",0,0.107186,0.107186,3
1776500,1790810,"B","3.5_ref",1,"007008",0.018313,0.085756,0.104069,3
1805150,1811280,"A","3.6_ref",4,"007008",0,0,0,3
1825440,1836380,"B","3.7_ref",7,"007008",0.074774,0,0.074774,3
1839910,1856590,"A","3.8_ref",16,"007008",0.061531,0.061358,0.122889,3
1868640,1878740,"B","3.9_ref",13,"007008",0,0.080656,0.080656,3
1892050,1900950,"A","3.10_ref",2,"007008",0,0.082389,0.082389,3
1914210,1929670,"B","3.11_ref",11,"007008",0,0.098282,0.098282,3
1939430,1948840,"A","3.12_ref",6,"007008",0,0.143287,0.143287,3
1956250,1970560,"B","3.13_ref",5,"007008",0.044647,0.076683,0.12133,3
1975740,1984540,"A","3.14_ref",8,"007008",0,0.023827,0.023827,3
2002810,2010650,"B","3.15_ref",3,"007008",0,0.10257,0.10257,3
2017930,2040950,"A","3.16_ref",14,"007008",0.107191,0.062564,0.169755,3
2069150,2076140,"B","4.1_ref",10,"007008",0.03483,0.062184,0.097014,4
2088440,2096800,"A","4.2_ref",15,"007008",0,0,0,4
2103890,2112410,"B","4.3_ref",6,"007008",0.109701,0.097947,0.207648,4
2122040,2141470,"A","4.4_ref",1,"007008",0.0801,0.065778,0.145878,4
2155680,2167360,"B","4.5_ref",16,"007008",0,0.084822,0.084822,4
2191610,2199110,"A","4.6_ref",13,"007008",0.120745,0.063609,0.184354,4
2214460,2221900,"B","4.7_ref",12,"007008",0,0.062468,0.062468,4
2234810,2243680,"A","4.8_ref",7,"007008",0.037569,0,0.037569,4
2262360,2271510,"B","4.9_ref",2,"007008",0,0.086993,0.086993,4
2284970,2300830,"A","4.10_ref",9,"007008",0.11279,0.067242,0.180032,4
2314960,2330910,"B","4.11_ref",14,"007008",0.01328,0.085829,0.099109,4
2348940,2365450,"A","4.12_ref",5,"007008",0.084293,0.084867,0.16916,4
2387100,2395060,"B","4.13_ref",8,"007008",0,0.072435,0.072435,4
2418620,2430200,"A","4.14_ref",11,"007008",0.106809,0.057055,0.163864,4
2448390,2453320,"B","4.15_ref",4,"007008",0,0.125344,0.125344,4
2466700,2472740,"A","4.16_ref",3,"007008",0,0.089354,0.089354,4
2478670,2484700,"B","5.1_ref",7,"007008",0.142376,0.072571,0.214947,5
2511410,2518840,"A","5.2_ref",6,"007008",0,0.038246,0.038246,5
2525020,2534720,"B","5.3_ref",11,"007008",0,0.097026,0.097026,5
2568830,2577670,"A","5.4_ref",10,"007008",0,0.10094,0.10094,5
2586280,2598320,"B","5.5_ref",9,"007008",0,0.140748,0.140748,5
2603080,2614070,"A","5.6_ref",4,"007008",0,0.086999,0.086999,5
2626920,2635100,"B","5.7_ref",13,"007008",0,0.070846,0.070846,5
2646710,2655370,"A","5.8_ref",12,"007008",0,0.129202,0.129202,5
2665250,2677920,"B","5.9_ref",1,"007008",0.046424,0.069031,0.115455,5
2693390,2701970,"A","5.10_ref",8,"007008",0,0.059191,0.059191,5
2707760,2715190,"B","5.11_ref",15,"007008",0,0.069413,0.069413,5
2727440,2734830,"A","5.12_ref",14,"007008",0.133184,0.073501,0.206685,5
2741460,2754880,"B","5.13_ref",5,"007008",0,0.097985,0.097985,5
2769450,2785930,"A","5.14_ref",16,"007008",0,0,0,5
2804270,2810080,"B","5.15_ref",3,"007008",0,0.091213,0.091213,5
2815670,2824930,"A","5.16_ref",2,"007008",0.068303,0,0.068303,5
2830510,2836220,"B","6.1_ref",10,"007008",0.115301,0.063016,0.178317,6
2854430,2872250,"A","6.2_ref",11,"007008",0.042009,0.077221,0.11923,6
2885300,2892470,"B","6.3_ref",8,"007008",0.090392,0.062743,0.153135,6
2898790,2906030,"A","6.4_ref",7,"007008",0,0.07075,0.07075,6
2914990,2921220,"B","6.5_ref",4,"007008",0,0.100576,0.100576,6
2940980,2946280,"A","6.6_ref",3,"007008",0,0.073643,0.073643,6
2960590,2968870,"B","6.7_ref",14,"007008",0,0.076049,0.076049,6
2973740,2980630,"A","6.8_ref",13,"007008",0.061446,0.104852,0.166298,6
2986420,2996930,"B","6.9_ref",2,"007008",0,0.082007,0.082007,6
3050210,3063130,"A","6.10_ref",9,"007008",0,0.076888,0.076888,6
3071780,3081350,"B","6.11_ref",6,"007008",0,0.096853,0.096853,6
3122440,3130140,"A","6.12_ref",1,"007008",0.064063,0.055117,0.11918,6
3144400,3156380,"B","6.13_ref",16,"007008",0,0.090302,0.090302,6
3159410,3169350,"A","6.14_ref",5,"007008",0,0.079219,0.079219,6
3172790,3183280,"B","6.15_ref",12,"007008",0.04834,0.081853,0.130193,6
3189730,3195220,"A","6.16_ref",15,"007008",0.168955,0,0.168955,6
3080,82980,"B","1.1_ref",9,"009010",0.227228,0.301625,0.528853,1
121460,201880,"A","1.2_ref",6,"009010",0.143833,0.174377,0.31821,1
257230,299230,"B","1.3_ref",15,"009010",0.198266,0.134167,0.332433,1
328930,379260,"A","1.4_ref",14,"009010",0.149146,0.169033,0.318179,1
403290,441020,"B","1.5_ref",13,"009010",0.189005,0.113927,0.302932,1
492950,588830,"A","1.6_ref",16,"009010",0.160452,0.123637,0.284089,1
603100,629520,"B","1.7_ref",11,"009010",0.066914,0.086995,0.153909,1
663830,726510,"A","1.8_ref",8,"009010",0.110238,0.13443,0.244668,1
763020,801720,"B","1.9_ref",3,"009010",0.17382,0.107234,0.281054,1
818740,848480,"A","1.10_ref",10,"009010",0.166282,0.189149,0.355431,1
856250,891880,"B","1.11_ref",5,"009010",0.066222,0.18978,0.256002,1
904080,932200,"A","1.12_ref",4,"009010",0.120101,0.090644,0.210745,1
943330,979030,"B","1.13_ref",7,"009010",0.10077,0.093188,0.193958,1
985620,1014250,"A","1.14_ref",2,"009010",0.181454,0.04957,0.231024,1
1024670,1041990,"B","1.15_ref",1,"009010",0.082881,0.105796,0.188677,1
1088100,1127910,"A","1.16_ref",12,"009010",0.128195,0.129945,0.25814,1
1148950,1170550,"B","2.1_ref",14,"009010",0.110201,0.19201,0.302211,2
1183120,1220720,"A","2.2_ref",9,"009010",0.119148,0.097465,0.216613,2
1234970,1271390,"B","2.3_ref",16,"009010",0.171701,0.184632,0.356333,2
1278270,1292860,"A","2.4_ref",3,"009010",0.150733,0.156436,0.307169,2
1318040,1327280,"B","2.5_ref",10,"009010",0.016903,0.085578,0.102481,2
1350940,1371260,"A","2.6_ref",11,"009010",0.168078,0.114862,0.28294,2
1378560,1389590,"B","2.7_ref",12,"009010",0.043586,0.090534,0.13412,2
1448610,1467350,"A","2.8_ref",7,"009010",0.129235,0.073755,0.20299,2
1479550,1486640,"B","2.9_ref",6,"009010",0,0.077405,0.077405,2
1519010,1525240,"A","2.10_ref",13,"009010",0.085175,0,0.085175,2
1532360,1549240,"B","2.11_ref",2,"009010",0.155284,0.050621,0.205905,2
1565170,1578710,"A","2.12_ref",15,"009010",0.093764,0.082011,0.175775,2
1587970,1606790,"B","2.13_ref",8,"009010",0.093918,0.051093,0.145011,2
1618780,1632970,"A","2.14_ref",1,"009010",0.089979,0.038559,0.128538,2
1642220,1652130,"B","2.15_ref",4,"009010",0.073863,0.026624,0.100487,2
1681770,1692260,"A","2.16_ref",5,"009010",0.115952,0,0.115952,2
1700940,1717500,"B","3.1_ref",9,"009010",0.037158,0.041331,0.078489,3
1724610,1735590,"A","3.2_ref",10,"009010",0.124496,0.124305,0.248801,3
1761850,1774980,"B","3.3_ref",15,"009010",0.040322,0.023817,0.064139,3
1786440,1798390,"A","3.4_ref",12,"009010",0.126144,0.023531,0.149675,3
1822980,1838570,"B","3.5_ref",1,"009010",0.00286,0.094723,0.097583,3
1856570,1864840,"A","3.6_ref",4,"009010",0.110034,0.065013,0.175047,3
1869780,1880900,"B","3.7_ref",7,"009010",0.004232,0.010965,0.015197,3
1893040,1913400,"A","3.8_ref",16,"009010",0.14597,0.125654,0.271624,3
1924320,1940790,"B","3.9_ref",13,"009010",0.162427,0.17334,0.335767,3
1954830,1970050,"A","3.10_ref",2,"009010",0.066089,0.071797,0.137886,3
1984280,1998400,"B","3.11_ref",11,"009010",0.012788,0.080982,0.09377,3
2010220,2028560,"A","3.12_ref",6,"009010",0.082172,0.103673,0.185845,3
2032670,2042080,"B","3.13_ref",5,"009010",0.009912,0.138666,0.148578,3
2049340,2061910,"A","3.14_ref",8,"009010",0.0378,0.031066,0.068866,3
2076150,2087260,"B","3.15_ref",3,"009010",0.034076,0,0.034076,3
2098270,2109590,"A","3.16_ref",14,"009010",0.060532,0.212371,0.272903,3
2131810,2141640,"B","4.1_ref",10,"009010",0.017064,0.065093,0.082157,4
2159190,2167040,"A","4.2_ref",15,"009010",0.041611,0.042424,0.084035,4
2174200,2181480,"B","4.3_ref",6,"009010",0.187645,0.053533,0.241178,4
2213060,2219850,"A","4.4_ref",1,"009010",0.069361,0,0.069361,4
2228170,2241060,"B","4.5_ref",16,"009010",0.074539,0.036287,0.110826,4
2248290,2254280,"A","4.6_ref",13,"009010",0.069008,0.02949,0.098498,4
2286330,2294660,"B","4.7_ref",12,"009010",0.011146,0.068195,0.079341,4
2312570,2324720,"A","4.8_ref",7,"009010",0.043345,0.077502,0.120847,4
2338230,2346120,"B","4.9_ref",2,"009010",0.107505,0.031098,0.138603,4
2357090,2370030,"A","4.10_ref",9,"009010",0.079604,0.039126,0.11873,4
2378980,2388940,"B","4.11_ref",14,"009010",0,0.063762,0.063762,4
2409290,2417490,"A","4.12_ref",5,"009010",0.098551,0.003117,0.101668,4
2428500,2440040,"B","4.13_ref",8,"009010",0,0.153112,0.153112,4
2446980,2457300,"A","4.14_ref",11,"009010",0.168762,0.079265,0.248027,4
